POC,"Pos(x,y)",Block_size(w*h),SplitSeries
0,"8,96",4*8,103875617
0,"12,96",4*8,103875617
0,"0,104",4*4,72418337
0,"0,108",4*4,72418337
0,"4,104",8*8,5309473
0,"12,104",4*8,5309473
0,"16,96",4*4,70288417
0,"16,100",4*4,70288417
0,"20,96",4*4,70288417
0,"20,100",4*4,70288417
0,"24,96",4*8,3179553
0,"28,96",4*4,70288417
0,"28,100",4*4,70288417
0,"16,104",4*8,3179553
0,"20,104",4*4,70288417
0,"20,108",4*4,70288417
0,"24,104",4*8,3179553
0,"28,104",4*8,3179553
0,"0,112",4*8,70353953
0,"0,120",4*8,70353953
0,"4,112",4*16,3245089
0,"8,112",4*16,3245089
0,"12,112",4*16,3245089
0,"16,112",4*8,70353953
0,"16,120",4*8,70353953
0,"20,112",4*16,3245089
0,"24,112",4*16,3245089
0,"28,112",4*4,137462817
0,"28,116",4*8,137462817
0,"28,124",4*4,137462817
0,"32,96",4*4,137462817
0,"32,100",4*8,137462817
0,"32,108",4*4,137462817
0,"36,96",4*8,70353953
0,"36,104",4*8,70353953
0,"40,96",4*8,70353953
0,"40,104",4*8,70353953
0,"44,96",4*4,137462817
0,"44,100",4*8,137462817
0,"44,108",4*4,137462817
0,"48,96",8*4,102827041
0,"56,96",8*4,102827041
0,"48,100",8*4,102827041
0,"56,100",8*4,102827041
0,"48,104",8*4,70321185
0,"48,108",8*4,70321185
0,"56,104",8*8,3212321
0,"32,112",4*4,102794273
0,"36,112",4*4,102794273
0,"32,116",4*4,102794273
0,"36,116",4*4,102794273
0,"40,112",8*8,33825
0,"32,120",4*4,70288417
0,"32,124",4*4,70288417
0,"36,120",4*8,3179553
0,"40,120",4*4,102794273
0,"44,120",4*4,102794273
0,"40,124",4*4,102794273
0,"44,124",4*4,102794273
0,"48,112",4*4,72418337
0,"48,116",4*4,72418337
0,"52,112",8*4,72418337
0,"52,116",8*4,72418337
0,"60,112",4*4,72418337
0,"60,116",4*4,72418337
0,"48,120",8*4,102827041
0,"56,120",8*4,102827041
0,"48,124",8*4,102827041
0,"56,124",8*4,102827041
0,"64,64",4*4,5375009
0,"68,64",8*4,5375009
0,"76,64",4*4,5375009
0,"64,68",8*8,3277857
0,"72,68",8*4,70386721
0,"72,72",8*4,70386721
0,"64,76",4*4,103941153
0,"68,76",4*4,103941153
0,"72,76",4*4,103941153
0,"76,76",4*4,103941153
0,"80,64",4*8,103875617
0,"84,64",4*8,103875617
0,"88,64",8*8,3212321
0,"80,72",8*8,3212321
0,"88,72",4*8,103875617
0,"92,72",4*8,103875617
0,"64,80",4*4,69370913
0,"64,84",4*4,69370913
0,"64,88",4*4,69370913
0,"64,92",4*4,69370913
0,"68,80",8*4,69370913
0,"68,84",8*4,69370913
0,"68,88",8*4,69370913
0,"68,92",8*4,69370913
0,"76,80",4*4,69370913
0,"76,84",4*4,69370913
0,"76,88",4*4,69370913
0,"76,92",4*4,69370913
0,"80,80",4*4,4359201
0,"80,84",4*8,4359201
0,"80,92",4*4,4359201
0,"84,80",4*4,105022497
0,"88,80",4*4,105022497
0,"84,84",4*8,105022497
0,"88,84",4*8,105022497
0,"84,92",4*4,105022497
0,"88,92",4*4,105022497
0,"92,80",4*4,69370913
0,"92,84",4*4,69370913
0,"92,88",4*4,69370913
0,"92,92",4*4,69370913
0,"96,64",8*4,2130977
0,"96,68",8*4,2130977
0,"104,64",4*4,102794273
0,"108,64",4*4,102794273
0,"104,68",8*4,2130977
0,"96,72",8*4,2130977
0,"96,76",4*4,102794273
0,"100,76",4*4,102794273
0,"104,72",4*4,102794273
0,"108,72",4*4,102794273
0,"104,76",4*4,102794273
0,"108,76",4*4,102794273
0,"112,64",4*8,3179553
0,"116,64",4*4,70288417
0,"116,68",4*4,70288417
0,"120,64",8*4,2130977
0,"120,68",8*4,2130977
0,"112,72",4*4,102794273
0,"116,72",4*4,102794273
0,"112,76",8*4,2130977
0,"120,72",4*4,102794273
0,"124,72",4*4,102794273
0,"120,76",4*4,102794273
0,"124,76",4*4,102794273
0,"96,80",4*4,70288417
0,"96,84",4*4,70288417
0,"100,80",4*4,70288417
0,"100,84",4*4,70288417
0,"104,80",8*4,2130977
0,"104,84",8*4,2130977
0,"96,88",4*4,70288417
0,"96,92",4*4,70288417
0,"100,88",4*4,70288417
0,"100,92",4*4,70288417
0,"104,88",4*4,102794273
